epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,,,0.3362029790878296,1.1116076707839966
0,49,0.3230263888835907,1.1325386762619019,,
1,99,,,0.3574988543987274,1.0634819269180298
1,99,0.3377505838871002,1.0953896045684814,,
2,149,,,0.5962845683097839,0.9740715622901917
2,149,0.4421791732311249,1.034338355064392,,
3,199,,,0.611690104007721,0.8584656715393066
3,199,0.5588402152061462,0.9398079514503479,,
4,249,,,0.6379700899124146,0.779259443283081
4,249,0.6092422604560852,0.8515183925628662,,
5,299,,,0.6918894648551941,0.724761426448822
5,299,0.6493374109268188,0.7915834188461304,,
6,349,,,0.7213411927223206,0.6727352142333984
6,349,0.6956620216369629,0.7398623824119568,,
7,399,,,0.7367467284202576,0.6234884858131409
7,399,0.7142371535301208,0.6911991238594055,,
8,449,,,0.7489805221557617,0.5825135111808777
8,449,0.7314531803131104,0.6492583751678467,,
9,499,,,0.7566832900047302,0.549931526184082
9,499,0.7445917129516602,0.6169449090957642,,
10,549,,,0.7729949951171875,0.5240470767021179
10,549,0.7530864477157593,0.5926339030265808,,
11,599,,,0.7834163904190063,0.5024998188018799
11,599,0.7641862034797668,0.5722337365150452,,
12,649,,,0.7942909002304077,0.4845897853374481
12,649,0.7692830562591553,0.5608827471733093,,
13,699,,,0.8074309229850769,0.46858644485473633
13,699,0.7748329639434814,0.5463547706604004,,
14,749,,,0.8151336908340454,0.45405471324920654
14,749,0.7858194708824158,0.522790789604187,,
15,799,,,0.8273674845695496,0.4380101263523102
15,799,0.7912560701370239,0.5127570629119873,,
16,849,,,0.8359764218330383,0.4250791668891907
16,849,0.7992977499961853,0.506362795829773,,
17,899,,,0.842319905757904,0.4138485789299011
17,899,0.804507851600647,0.490978866815567,,
18,949,,,0.8473040461540222,0.40453052520751953
18,949,0.805187463760376,0.4911443591117859,,
19,999,,,0.8504757881164551,0.3954106867313385
19,999,0.8113036751747131,0.47926202416419983,,
20,1049,,,0.8531943559646606,0.3875235915184021
20,1049,0.8157209157943726,0.4693467915058136,,
21,1099,,,0.8545536994934082,0.38177067041397095
21,1099,0.8220636248588562,0.4634028673171997,,
22,1149,,,0.8577254414558411,0.3739760220050812
22,1149,0.823196291923523,0.45980390906333923,,
23,1199,,,0.8595378398895264,0.367948055267334
23,1199,0.8273870348930359,0.44721904397010803,,
24,1249,,,0.8622564673423767,0.3624952733516693
24,1249,0.8233095407485962,0.4441761076450348,,
25,1299,,,0.864068865776062,0.35862618684768677
25,1299,0.8286328911781311,0.4395023286342621,,
26,1349,,,0.8667874932289124,0.3535071909427643
26,1349,0.8229697346687317,0.4405888020992279,,
27,1399,,,0.8681467771530151,0.3499550521373749
