epoch,step,train_acc,train_loss,val_acc,val_loss
0,101,,,0.5260534882545471,0.9612921476364136
0,101,0.42031940817832947,1.0685497522354126,,
1,203,,,0.5545989871025085,0.8617472052574158
1,203,0.5391324162483215,0.9309365749359131,,
2,305,,,0.5727231502532959,0.837776780128479
2,305,0.559746265411377,0.8823962211608887,,
3,407,,,0.5845038294792175,0.8288906216621399
3,407,0.5702797770500183,0.8623164892196655,,
4,509,,,0.5903941988945007,0.8226549029350281
4,509,0.5835315585136414,0.8459166288375854,,
5,611,,,0.5931128263473511,0.8209183812141418
5,611,0.5843243598937988,0.8518174290657043,,
6,713,,,0.5967376232147217,0.8176479935646057
6,713,0.5867028832435608,0.8372147083282471,,
7,815,,,0.5872224569320679,0.8152389526367188
7,815,0.5897610187530518,0.8367449045181274,,
8,917,,,0.5903941988945007,0.8135876059532166
8,917,0.5964435338973999,0.8362959027290344,,
9,1019,,,0.5903941988945007,0.8126393556594849
9,1019,0.5942915678024292,0.8281053304672241,,
10,1121,,,0.5949252247810364,0.8101372718811035
10,1121,0.5963302850723267,0.8276376128196716,,
11,1223,,,0.5917534828186035,0.8112694621086121
11,1223,0.6009740829467773,0.8264114856719971,,
12,1325,,,0.5980969667434692,0.8103917241096497
12,1325,0.5992751121520996,0.8257154226303101,,
13,1427,,,0.5976438522338867,0.8090776205062866
13,1427,0.5975761413574219,0.8216478824615479,,
14,1529,,,0.5953783392906189,0.8086217641830444
14,1529,0.6017668843269348,0.8230682015419006,,
15,1631,,,0.599456250667572,0.8092226386070251
15,1631,0.6018801927566528,0.8194422721862793,,
16,1733,,,0.5940190553665161,0.8088328838348389
16,1733,0.6010873317718506,0.8175063133239746,,
17,1835,,,0.5985500812530518,0.8072583675384521
17,1835,0.6050515174865723,0.8155986070632935,,
18,1937,,,0.5971907377243042,0.8075100779533386
18,1937,0.6032392978668213,0.8156552910804749,,
19,2039,,,0.6012687087059021,0.8069140911102295
19,2039,0.6021066904067993,0.8176618814468384,,
20,2141,,,0.599456250667572,0.8067074418067932
20,2141,0.6045984625816345,0.8166491985321045,,
21,2243,,,0.599456250667572,0.8065309524536133
21,2243,0.604371964931488,0.8150392770767212,,
22,2345,,,0.5971907377243042,0.8046129941940308
22,2345,0.606184184551239,0.8117870688438416,,
23,2447,,,0.5953783392906189,0.804330050945282
23,2447,0.5987088084220886,0.8079537153244019,,
24,2549,,,0.599456250667572,0.8043023347854614
24,2549,0.606184184551239,0.809621274471283,,
25,2651,,,0.6003624796867371,0.8050625920295715
25,2651,0.6069769859313965,0.8099715709686279,,
26,2753,,,0.5944721102714539,0.805366575717926
26,2753,0.6125268936157227,0.808860719203949,,
27,2855,,,0.5967376232147217,0.8058217763900757
27,2855,0.6044852137565613,0.8109229207038879,,
28,2957,,,0.5980969667434692,0.8050326704978943
28,2957,0.6070902943611145,0.8074723482131958,,
29,3059,,,0.5990031957626343,0.803900957107544
29,3059,0.607316792011261,0.8098721504211426,,
30,3161,,,0.5971907377243042,0.8040603995323181
30,3161,0.6072035431861877,0.804291844367981,,
31,3263,,,0.5971907377243042,0.8045143485069275
31,3263,0.6070902943611145,0.8067145943641663,,
32,3365,,,0.5967376232147217,0.8040990233421326
32,3365,0.607883095741272,0.8095579743385315,,
33,3467,,,0.6008155941963196,0.8024979829788208
33,3467,0.6066372394561768,0.8084489703178406,,
34,3569,,,0.6003624796867371,0.8041461110115051
34,3569,0.6044852137565613,0.8066042065620422,,
35,3671,,,0.599456250667572,0.8045202493667603
35,3671,0.6034658551216125,0.8063259124755859,,
36,3773,,,0.6008155941963196,0.803676426410675
36,3773,0.60675048828125,0.8058704733848572,,
37,3875,,,0.5980969667434692,0.8039830327033997
37,3875,0.6109412312507629,0.803171694278717,,
38,3977,,,0.5985500812530518,0.8048593997955322
38,3977,0.6133197546005249,0.8064157962799072,,
39,4079,,,0.6017218232154846,0.8032351136207581
39,4079,0.60675048828125,0.8069744110107422,,
40,4181,,,0.599456250667572,0.8030580878257751
40,4181,0.6086759567260742,0.8045178651809692,,
41,4283,,,0.5985500812530518,0.8039518594741821
41,4283,0.604938268661499,0.8096821904182434,,
42,4385,,,0.6026279926300049,0.8045143485069275
